# Pe    mu
1.604010e+00 2.621321e+02
1.629073e+00 2.623423e+02
1.629073e+00 2.625526e+02
1.629073e+00 2.627628e+02
1.629073e+00 2.629730e+02
1.654135e+00 2.631832e+02
1.654135e+00 2.633934e+02
1.654135e+00 2.636036e+02
1.654135e+00 2.638138e+02
1.679198e+00 2.640240e+02
1.679198e+00 2.642342e+02
1.679198e+00 2.644444e+02
1.679198e+00 2.646547e+02
1.704261e+00 2.648649e+02
1.704261e+00 2.650751e+02
1.704261e+00 2.652853e+02
1.704261e+00 2.654955e+02
1.729323e+00 2.657057e+02
1.729323e+00 2.659159e+02
1.729323e+00 2.661261e+02
1.729323e+00 2.663363e+02
1.729323e+00 2.665465e+02
1.754386e+00 2.667568e+02
1.754386e+00 2.669670e+02
1.754386e+00 2.671772e+02
1.754386e+00 2.673874e+02
1.779449e+00 2.675976e+02
1.779449e+00 2.678078e+02
1.779449e+00 2.680180e+02
1.779449e+00 2.682282e+02
1.804511e+00 2.684384e+02
1.804511e+00 2.686486e+02
1.804511e+00 2.688589e+02
1.804511e+00 2.690691e+02
1.804511e+00 2.692793e+02
1.829574e+00 2.694895e+02
1.829574e+00 2.696997e+02
1.829574e+00 2.699099e+02
1.829574e+00 2.701201e+02
1.854637e+00 2.703303e+02
1.854637e+00 2.705405e+02
1.854637e+00 2.707508e+02
1.854637e+00 2.709610e+02
1.854637e+00 2.711712e+02
1.879699e+00 2.713814e+02
1.879699e+00 2.715916e+02
1.879699e+00 2.718018e+02
1.879699e+00 2.720120e+02
1.904762e+00 2.722222e+02
1.904762e+00 2.724324e+02
1.904762e+00 2.726426e+02
1.904762e+00 2.728529e+02
1.904762e+00 2.730631e+02
1.929825e+00 2.732733e+02
1.929825e+00 2.734835e+02
1.929825e+00 2.736937e+02
1.929825e+00 2.739039e+02
1.929825e+00 2.741141e+02
1.954887e+00 2.743243e+02
1.954887e+00 2.745345e+02
1.954887e+00 2.747447e+02
1.954887e+00 2.749550e+02
1.954887e+00 2.751652e+02
1.979950e+00 2.753754e+02
1.979950e+00 2.755856e+02
1.979950e+00 2.757958e+02
1.979950e+00 2.760060e+02
2.005013e+00 2.762162e+02
2.005013e+00 2.764264e+02
2.005013e+00 2.766366e+02
